,,,,
Experiment/Run,Lab,Item Name,Item ID,Status
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CYx16-CY660int_Colony_2_Day_1,CYx16-CY660int_Colony_2_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY970-CY660int_Colony_2_Day_1,CY970-CY660int_Colony_2_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY974-CY952int_Colony_2_Day_1,CY974-CY952int_Colony_2_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY974-CY953int_Colony_2_Day_1,CY974-CY953int_Colony_2_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CYx76-CYx40int_Colony_2_Day_1,CYx76-CYx40int_Colony_2_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CYx19-CY948int_Colony_2_Day_1,CYx19-CY948int_Colony_2_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY968-CY662int_Colony_3_Day_1,CY968-CY662int_Colony_3_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CYx16-CY658int_Colony_3_Day_1,CYx16-CY658int_Colony_3_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CYx16-CY660int_Colony_3_Day_1,CYx16-CY660int_Colony_3_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY970-CY660int_Colony_3_Day_1,CY970-CY660int_Colony_3_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY974-CY952int_Colony_3_Day_1,CY974-CY952int_Colony_3_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY974-CY953int_Colony_3_Day_1,CY974-CY953int_Colony_3_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CYx76-CYx40int_Colony_3_Day_1,CYx76-CYx40int_Colony_3_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CYx19-CY948int_Colony_3_Day_1,CYx19-CY948int_Colony_3_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY968-CY662int_Colony_4_Day_1,CY968-CY662int_Colony_4_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CYx16-CY658int_Colony_4_Day_1,CYx16-CY658int_Colony_4_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CYx16-CY660int_Colony_4_Day_1,CYx16-CY660int_Colony_4_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY970-CY660int_Colony_4_Day_1,CY970-CY660int_Colony_4_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY974-CY952int_Colony_4_Day_1,CY974-CY952int_Colony_4_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CY974-CY953int_Colony_4_Day_1,CY974-CY953int_Colony_4_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CYx76-CYx40int_Colony_4_Day_1,CYx76-CYx40int_Colony_4_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,CYx19-CY948int_Colony_4_Day_1,CYx19-CY948int_Colony_4_Day_1,
r1c9pjzjs2c9k_r1c9wva2tpwj7,Transcriptic,SizeBeadControl,SizeBeadControl,
r1bzc55fpurbj,Transcriptic,Arabinose,Arabinose,
